zcta,BlockCode,TechCode,TechCategory,max_ad_down,max_ad_up
94608,060014251041002,50,Fiber to the Premises,1000.0,1000.0
94608,060014251041003,10,Copper (DSL/VDSL),3.0,0.384
94608,060014251041003,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251041003,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251041003,50,Fiber to the Premises,1000.0,1000.0
94608,060014251041004,50,Fiber to the Premises,1000.0,1000.0
94608,060014251041007,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251041007,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251041007,50,Fiber to the Premises,1000.0,1000.0
94608,060014251041008,10,Copper (DSL/VDSL),3.0,0.384
94608,060014251041008,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251041008,12,Copper (DSL/VDSL),100.0,20.0
94608,060014251041008,50,Fiber to the Premises,1000.0,1000.0
94608,060014251041009,10,Copper (DSL/VDSL),1.5,0.256
94608,060014251041009,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251041009,12,Copper (DSL/VDSL),75.0,20.0
94608,060014251041009,50,Fiber to the Premises,1000.0,1000.0
94608,060014251041010,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251041010,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251041010,50,Fiber to the Premises,1000.0,1000.0
94608,060014251041011,50,Fiber to the Premises,1000.0,1000.0
94608,060014251041012,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251041012,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251041012,50,Fiber to the Premises,1000.0,1000.0
94608,060014251041013,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251041013,12,Copper (DSL/VDSL),75.0,20.0
94608,060014251041013,50,Fiber to the Premises,1000.0,1000.0
94608,060014251041014,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251041014,12,Copper (DSL/VDSL),100.0,20.0
94608,060014251041015,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251041015,12,Copper (DSL/VDSL),100.0,20.0
94608,060014251041016,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251041016,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251042000,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042000,12,Copper (DSL/VDSL),100.0,20.0
94608,060014251042000,50,Fiber to the Premises,1000.0,1000.0
94608,060014251042001,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042001,12,Copper (DSL/VDSL),100.0,20.0
94608,060014251042002,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042002,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251042003,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042003,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251042004,10,Copper (DSL/VDSL),6.0,0.512
94608,060014251042004,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042004,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251042005,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042005,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251042006,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042006,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251042007,10,Copper (DSL/VDSL),0.768,0.256
94608,060014251042007,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042007,12,Copper (DSL/VDSL),100.0,20.0
94608,060014251042008,10,Copper (DSL/VDSL),3.0,0.384
94608,060014251042008,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042008,12,Copper (DSL/VDSL),100.0,20.0
94608,060014251042009,11,Copper (DSL/VDSL),3.0,1.0
94608,060014251042010,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042010,12,Copper (DSL/VDSL),50.0,10.0
94608,060014251042011,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042011,12,Copper (DSL/VDSL),75.0,20.0
94608,060014251042012,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042012,12,Copper (DSL/VDSL),100.0,20.0
94608,060014251042013,10,Copper (DSL/VDSL),3.0,0.384
94608,060014251042013,11,Copper (DSL/VDSL),18.0,1.5
94608,060014251042013,12,Copper (DSL/VDSL),100.0,20.0
94618,060014261001000,50,Fiber to the Premises,1000.0,1000.0
94618,060014261001001,11,Copper (DSL/VDSL),18.0,1.5
94618,060014261001001,12,Copper (DSL/VDSL),100.0,20.0
94618,060014261001001,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001002,11,Copper (DSL/VDSL),18.0,1.5
94611,060014261001002,12,Copper (DSL/VDSL),100.0,20.0
94611,060014261001002,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001003,10,Copper (DSL/VDSL),1.5,0.256
94611,060014261001003,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261001003,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001004,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261001004,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001005,11,Copper (DSL/VDSL),18.0,1.5
94611,060014261001005,12,Copper (DSL/VDSL),100.0,20.0
94611,060014261001005,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001006,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001008,11,Copper (DSL/VDSL),18.0,1.5
94611,060014261001008,12,Copper (DSL/VDSL),100.0,20.0
94611,060014261001008,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001009,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001010,11,Copper (DSL/VDSL),1.5,1.0
94611,060014261001010,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001011,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261001011,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001012,11,Copper (DSL/VDSL),18.0,1.5
94611,060014261001012,12,Copper (DSL/VDSL),100.0,20.0
94611,060014261001012,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001013,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001014,50,Fiber to the Premises,1000.0,1000.0
94618,060014261001015,11,Copper (DSL/VDSL),0.768,0.384
94618,060014261001015,50,Fiber to the Premises,1000.0,1000.0
94611,060014261001016,50,Fiber to the Premises,1000.0,1000.0
94611,060014261002000,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261002001,11,Copper (DSL/VDSL),18.0,1.5
94611,060014261002001,12,Copper (DSL/VDSL),50.0,10.0
94611,060014261002002,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261002003,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261002004,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261002005,11,Copper (DSL/VDSL),1.5,1.0
94611,060014261002006,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261002006,12,Copper (DSL/VDSL),25.0,5.0
94611,060014261002006,50,Fiber to the Premises,1000.0,1000.0
94610,060014261002009,50,Fiber to the Premises,1000.0,1000.0
94610,060014261002010,11,Copper (DSL/VDSL),1.5,1.0
94611,060014261002011,11,Copper (DSL/VDSL),1.5,1.0
94610,060014261002014,11,Copper (DSL/VDSL),18.0,1.5
94610,060014261002014,50,Fiber to the Premises,1000.0,1000.0
94611,060014261003001,11,Copper (DSL/VDSL),18.0,1.5
94611,060014261003001,12,Copper (DSL/VDSL),25.0,5.0
94611,060014261003002,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261003003,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261003009,10,Copper (DSL/VDSL),6.0,0.512
94611,060014261003009,50,Fiber to the Premises,1000.0,1000.0
94611,060014261003010,50,Fiber to the Premises,1000.0,1000.0
94602,060014261003011,11,Copper (DSL/VDSL),6.0,1.0
94602,060014261003011,50,Fiber to the Premises,1000.0,1000.0
94611,060014261003012,11,Copper (DSL/VDSL),18.0,1.5
94611,060014261003012,12,Copper (DSL/VDSL),25.0,5.0
94611,060014261003012,50,Fiber to the Premises,1000.0,1000.0
94611,060014261003013,11,Copper (DSL/VDSL),6.0,1.0
94611,060014261003014,11,Copper (DSL/VDSL),3.0,1.0
94610,060014261003015,11,Copper (DSL/VDSL),5.0,1.0
94610,060014261003017,10,Copper (DSL/VDSL),1.5,0.256
94610,060014261003017,11,Copper (DSL/VDSL),5.0,1.0
94610,060014261003018,11,Copper (DSL/VDSL),5.0,1.0
94610,060014261003019,10,Copper (DSL/VDSL),3.0,0.384
94610,060014261003019,11,Copper (DSL/VDSL),6.0,1.0
94610,060014261003020,11,Copper (DSL/VDSL),5.0,1.0
94610,060014261003021,11,Copper (DSL/VDSL),6.0,1.0
94611,060014261004000,10,Copper (DSL/VDSL),0.768,0.256
94611,060014261004000,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261004001,10,Copper (DSL/VDSL),3.0,0.384
94611,060014261004001,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261004001,50,Fiber to the Premises,1000.0,1000.0
94611,060014261004003,11,Copper (DSL/VDSL),1.5,1.0
94611,060014261004004,11,Copper (DSL/VDSL),1.5,1.0
94610,060014261004005,10,Copper (DSL/VDSL),1.5,0.256
94610,060014261004005,50,Fiber to the Premises,1000.0,1000.0
94610,060014261004006,10,Copper (DSL/VDSL),6.0,0.512
94610,060014261004006,11,Copper (DSL/VDSL),18.0,1.5
94610,060014261004006,12,Copper (DSL/VDSL),50.0,10.0
94610,060014261004006,50,Fiber to the Premises,1000.0,1000.0
94610,060014261004007,11,Copper (DSL/VDSL),18.0,1.5
94610,060014261004007,12,Copper (DSL/VDSL),50.0,10.0
94610,060014261004007,50,Fiber to the Premises,1000.0,1000.0
94610,060014261004008,11,Copper (DSL/VDSL),18.0,1.5
94610,060014261004008,12,Copper (DSL/VDSL),75.0,20.0
94610,060014261004008,50,Fiber to the Premises,1000.0,1000.0
94610,060014261004009,11,Copper (DSL/VDSL),18.0,1.5
94610,060014261004009,12,Copper (DSL/VDSL),50.0,10.0
94610,060014261004009,50,Fiber to the Premises,1000.0,1000.0
94610,060014261004010,50,Fiber to the Premises,1000.0,1000.0
94610,060014261004011,12,Copper (DSL/VDSL),25.0,5.0
94610,060014261004011,50,Fiber to the Premises,1000.0,1000.0
94611,060014261004012,12,Copper (DSL/VDSL),50.0,10.0
94611,060014261004012,50,Fiber to the Premises,1000.0,1000.0
94610,060014261004014,10,Copper (DSL/VDSL),1.5,0.256
94610,060014261004014,11,Copper (DSL/VDSL),1.5,1.0
94610,060014261004014,50,Fiber to the Premises,1000.0,1000.0
94610,060014261004015,12,Copper (DSL/VDSL),50.0,10.0
94610,060014261004015,50,Fiber to the Premises,1000.0,1000.0
94610,060014261004016,12,Copper (DSL/VDSL),75.0,20.0
94610,060014261004016,50,Fiber to the Premises,1000.0,1000.0
94611,060014261005000,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261005000,50,Fiber to the Premises,1000.0,1000.0
94611,060014261005001,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261005001,50,Fiber to the Premises,1000.0,1000.0
94611,060014261005002,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261005002,50,Fiber to the Premises,1000.0,1000.0
94611,060014261005003,10,Copper (DSL/VDSL),3.0,0.384
94611,060014261005003,11,Copper (DSL/VDSL),1.5,1.0
94611,060014261005003,50,Fiber to the Premises,1000.0,1000.0
94611,060014261005004,50,Fiber to the Premises,1000.0,1000.0
94611,060014261005005,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261005005,50,Fiber to the Premises,1000.0,1000.0
94611,060014261005006,11,Copper (DSL/VDSL),18.0,1.5
94611,060014261005006,12,Copper (DSL/VDSL),50.0,10.0
94611,060014261005007,11,Copper (DSL/VDSL),1.5,1.0
94611,060014261005008,11,Copper (DSL/VDSL),1.5,1.0
94611,060014261005009,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261005010,11,Copper (DSL/VDSL),3.0,1.0
94611,060014261005011,11,Copper (DSL/VDSL),18.0,1.5
94611,060014261005011,12,Copper (DSL/VDSL),75.0,20.0
94611,060014261005012,11,Copper (DSL/VDSL),18.0,1.5
94611,060014261005012,12,Copper (DSL/VDSL),100.0,20.0
94611,060014261005012,50,Fiber to the Premises,1000.0,1000.0
94611,060014261005014,11,Copper (DSL/VDSL),1.5,1.0
94611,060014261005015,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261006000,50,Fiber to the Premises,1000.0,1000.0
94611,060014261006001,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261006001,50,Fiber to the Premises,1000.0,1000.0
94611,060014261006003,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261006004,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261006008,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261006009,11,Copper (DSL/VDSL),0.768,0.384
94611,060014261006010,11,Copper (DSL/VDSL),0.768,0.384
94611,060014262001000,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262001000,12,Copper (DSL/VDSL),50.0,10.0
94611,060014262001000,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001001,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262001001,12,Copper (DSL/VDSL),50.0,10.0
94611,060014262001002,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262001002,12,Copper (DSL/VDSL),50.0,10.0
94611,060014262001003,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262001003,12,Copper (DSL/VDSL),100.0,20.0
94611,060014262001004,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001005,11,Copper (DSL/VDSL),1.5,1.0
94611,060014262001005,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001006,10,Copper (DSL/VDSL),1.5,0.256
94611,060014262001006,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001007,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262001007,12,Copper (DSL/VDSL),50.0,10.0
94611,060014262001007,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001008,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262001008,12,Copper (DSL/VDSL),100.0,20.0
94611,060014262001008,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001009,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262001009,12,Copper (DSL/VDSL),100.0,20.0
94611,060014262001010,11,Copper (DSL/VDSL),6.0,1.0
94611,060014262001010,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001011,11,Copper (DSL/VDSL),6.0,1.0
94611,060014262001011,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001012,10,Copper (DSL/VDSL),3.0,0.384
94611,060014262001012,11,Copper (DSL/VDSL),6.0,1.0
94611,060014262001012,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001013,11,Copper (DSL/VDSL),3.0,1.0
94611,060014262001013,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001015,10,Copper (DSL/VDSL),3.0,0.384
94611,060014262001015,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262001015,12,Copper (DSL/VDSL),100.0,20.0
94611,060014262001015,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001016,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001017,11,Copper (DSL/VDSL),6.0,1.0
94611,060014262001017,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001018,10,Copper (DSL/VDSL),1.5,0.256
94611,060014262001018,11,Copper (DSL/VDSL),6.0,1.0
94611,060014262001018,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001019,11,Copper (DSL/VDSL),5.0,1.0
94611,060014262001019,50,Fiber to the Premises,1000.0,1000.0
94611,060014262001020,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002000,11,Copper (DSL/VDSL),3.0,1.0
94611,060014262002000,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002001,11,Copper (DSL/VDSL),0.768,0.384
94611,060014262002001,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002002,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002003,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002004,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002005,11,Copper (DSL/VDSL),6.0,1.0
94611,060014262002005,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002006,11,Copper (DSL/VDSL),3.0,1.0
94611,060014262002006,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002007,10,Copper (DSL/VDSL),6.0,0.512
94611,060014262002007,11,Copper (DSL/VDSL),0.768,0.384
94611,060014262002007,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002009,10,Copper (DSL/VDSL),6.0,0.512
94611,060014262002009,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002010,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002011,11,Copper (DSL/VDSL),5.0,1.0
94611,060014262002011,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002013,11,Copper (DSL/VDSL),5.0,1.0
94610,060014262002013,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002014,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002015,10,Copper (DSL/VDSL),6.0,0.512
94611,060014262002015,11,Copper (DSL/VDSL),5.0,1.0
94611,060014262002015,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002019,50,Fiber to the Premises,1000.0,1000.0
94611,060014262002020,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002021,11,Copper (DSL/VDSL),1.5,1.0
94610,060014262002021,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002022,10,Copper (DSL/VDSL),6.0,0.512
94610,060014262002022,11,Copper (DSL/VDSL),3.0,1.0
94610,060014262002022,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002024,11,Copper (DSL/VDSL),3.0,1.0
94610,060014262002024,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002026,11,Copper (DSL/VDSL),1.5,1.0
94610,060014262002026,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002027,10,Copper (DSL/VDSL),0.768,0.256
94610,060014262002027,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002028,11,Copper (DSL/VDSL),1.5,1.0
94610,060014262002028,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002029,10,Copper (DSL/VDSL),6.0,0.512
94610,060014262002029,11,Copper (DSL/VDSL),12.0,1.5
94610,060014262002029,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002030,10,Copper (DSL/VDSL),0.768,0.256
94610,060014262002030,11,Copper (DSL/VDSL),1.5,1.0
94610,060014262002031,11,Copper (DSL/VDSL),5.0,1.0
94610,060014262002033,11,Copper (DSL/VDSL),3.0,1.0
94610,060014262002033,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002034,10,Copper (DSL/VDSL),1.5,0.256
94610,060014262002034,11,Copper (DSL/VDSL),3.0,1.0
94610,060014262002034,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002035,10,Copper (DSL/VDSL),3.0,0.384
94610,060014262002035,11,Copper (DSL/VDSL),0.768,0.384
94610,060014262002035,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002036,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002037,11,Copper (DSL/VDSL),18.0,1.5
94610,060014262002037,12,Copper (DSL/VDSL),50.0,10.0
94610,060014262002037,50,Fiber to the Premises,1000.0,1000.0
94610,060014262002038,11,Copper (DSL/VDSL),18.0,1.5
94610,060014262002038,12,Copper (DSL/VDSL),100.0,20.0
94610,060014262002039,11,Copper (DSL/VDSL),18.0,1.5
94610,060014262002039,12,Copper (DSL/VDSL),50.0,10.0
94610,060014262002039,50,Fiber to the Premises,1000.0,1000.0
94611,060014262003000,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262003000,12,Copper (DSL/VDSL),100.0,20.0
94611,060014262003002,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262003002,12,Copper (DSL/VDSL),100.0,20.0
94611,060014262003002,50,Fiber to the Premises,1000.0,1000.0
94611,060014262003003,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262003003,12,Copper (DSL/VDSL),75.0,20.0
94611,060014262003004,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262003004,12,Copper (DSL/VDSL),100.0,20.0
94611,060014262003004,50,Fiber to the Premises,1000.0,1000.0
94611,060014262003005,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262003005,12,Copper (DSL/VDSL),50.0,10.0
94611,060014262003005,50,Fiber to the Premises,1000.0,1000.0
94611,060014262003006,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262003006,12,Copper (DSL/VDSL),50.0,10.0
94611,060014262003006,50,Fiber to the Premises,1000.0,1000.0
94611,060014262003008,11,Copper (DSL/VDSL),3.0,1.0
94611,060014262003008,50,Fiber to the Premises,1000.0,1000.0
94611,060014262003009,11,Copper (DSL/VDSL),3.0,1.0
94611,060014262003009,50,Fiber to the Premises,1000.0,1000.0
94611,060014262003010,11,Copper (DSL/VDSL),18.0,1.5
94611,060014262003010,50,Fiber to the Premises,1000.0,1000.0
94611,060014262003012,11,Copper (DSL/VDSL),12.0,1.5
94611,060014262003012,50,Fiber to the Premises,1000.0,1000.0
94611,060014262003014,11,Copper (DSL/VDSL),3.0,1.0
94611,060014262003014,50,Fiber to the Premises,1000.0,1000.0
94610,060014262003015,11,Copper (DSL/VDSL),18.0,1.5
94610,060014262003015,12,Copper (DSL/VDSL),50.0,10.0
94610,060014262003015,50,Fiber to the Premises,1000.0,1000.0
94610,060014262003017,10,Copper (DSL/VDSL),6.0,0.512
94610,060014262003017,11,Copper (DSL/VDSL),3.0,1.0
94610,060014262003017,50,Fiber to the Premises,1000.0,1000.0
